;query;answer
331;why is beach erosion a problem;Beach erosion is a problem because it uses this sand to sustain the environment.
731;world's largest wave ever surfed;Hugo Vau could have smashed a world record amid claims he surfed one of the biggest waves ever seen at Nazare, Portugal.
1793;ecotourism effects on coral reef;No Answer Present.
1961;environmental benefits of tidal energy;No Answer Present.
10410;largest offshore territory;No Answer Present.
10411;largest oil spill;"the world's largest oil spills fit into three different categories: 1) acts of war; 2) out-of-control wells; and 3) tanker accidents."
10412;largest oilfield services company;Schlumberger is the world’s biggest oilfield services company.
12049;ocean meaning;Ocean is a large body of water constituting a principal part of the hydrosphere body of water.
12067;oil spills impact on the environment;No Answer Present.
13550;sea chest meaning;Sea chest is a fitting in a hull below the water line, for admitting or discharging water.
14483;temperature range of sea turtle eggs;No Answer Present.
14558;the average air pressure at sea-level in standard meteorological units is ______ millibars.;The average air pressure at sea level in standard meteorological units is 1013.25 millibars.
14871;tide times;Tide times in the UK vary around the coast depending on the position of the moon, sun and various other influences.
17088;what are all the oceans;The five major oceans on Earth are the Pacific Ocean, the Atlantic Ocean, the Indian Ocean, the Arctic Ocean, and the Southern Ocean.
17218;what are coral reefs definition;A coral reef is a long narrow mass of coral and other substances.
17896;what are the characteristics of ocean systems;No Answer Present.
18118;what are the major effects of oil pollution on the environment;Major oil spills include , Lakeview Gusher, Gulf War oil spill, and the Deepwater Horizon oil spill.
19518;what could be one possible effect on human health due to an oil spill?;No Answer Present.
20148;what creates the tides on earth?;Since the gravitational force favours the moon, the ocean water is always bulging in the direction of the moon. This movement is called the tidal force.
20171;what damage do rip tides do;A rip can often be hard to see and absent from breaking waves, and only recognised by a ripple on the top of the water that heads out to sea.
20528;what do african mud turtles eat;No Answer Present.
20558;what do captivity musk turtles eat;No Answer Present.
20561;what do caspian pond turtles eat;No Answer Present.
20573;what do coral symbolize;Coral symbolizes life, death depending on how you look at it.
22398;what does ocean currents differences cause the water to do;The water of the ocean surface moves in a regular pattern called surface ocean currents. On this map, warm currents are shown in red and cold currents are shown in blue. Image Credit: Windows to the Universe.
22647;what does rise in sea level mean;Sea level rise is also known as submergence, since land above current mean sea level is drowned or submerged.
22931;what does the density of ocean water depend upon?;"The density of sea water depends on: temperature T, salinity S and ; pressure P, which increases with water depth."
23736;what forms the structure called a coral reef?;No Answer Present.
26781;what is coral stone made of;No Answer Present.
30185;what is the combined water and air temperature that the coast guard use for hypothermia;The combined water and air temperature is below 120 degrees Fahrenheit that the coast guard use for hypothermia.
31153;what is the life cycle of the alligator snapping turtle;No Answer Present.
31742;what is the origin of turtle;The oldest fossils of turtles were found in Germany and date back 215 million years, during the Triassic period.
32621;what is the turtle family called;No Answer Present.
32622;what is the turtle technique;The turtle technique is a method for calming down when you feel angry, frustrated or upset.
33621;what kind of turtle is gamera;Gamera is a giant flying turtle.
35210;define deep ocean trenches;No Answer Present.
38538;where do sea turtles get their food;Turtles get their food by swimming around the ocean and then cutting into their food.
49245;model organism that is in the same family as a sea turtle;No Answer Present.
50215;what bread is my turtle;No Answer Present.
51283;what are the economic impacts of tidal energy;No Answer Present.
52282;the ocean produces how much oxygen;No Answer Present.
53158;turtle food;The food of turtle is a lot of plants that grow in the water, small insects, snails, worms, and even dead marine animals and fish.
